Название,Телефон,Сайт,Адрес,Город,Рейтинг,Кол-во отзывов,Категории,Часы работы,Ссылки для записи,Запрос
Kaizen Салон красоты,+7 952 319-90-90,http://vk.com/kaizen_perm,"ул. Монастырская, 14А, Пермь, Пермский край, Россия, 614000",Пермь,4.8,41,Салон красоты,четверг: 10:00–21:00 | пятница: 10:00–21:00 | суббота: 10:00–18:00 | воскресенье: Закрыто | понедельник: 10:00–21:00 | вторник: 10:00–21:00 | среда: 10:00–21:00,https://yc.gl/book/773107/?rwg_token=AFd1xnE0GmgvjvyV93jHYORQgPOSgl9lsranNSVtmjPdRhFJv8lf32yarPC2z-b0sc9TPu7W42t-9pgZoJHIqDGulp2WptnQbRVFAB3tSMW1-SNWFLF5zoQ%3D,салоны красоты Пермь
"L`anza, центр красоты",+7 951 936-69-88,https://vk.com/lanza_perm,"ул. Луначарского, 96, Пермь, Пермский край, Россия, 614000",Пермь,4.2,64,Салон красоты,четверг: 09:00–21:00 | пятница: 09:00–21:00 | суббота: 09:00–21:00 | воскресенье: 09:00–21:00 | понедельник: 09:00–21:00 | вторник: 09:00–21:00 | среда: 09:00–21:00,,салоны красоты Пермь
Mirax,+7 982 481-70-10,https://n112121.yclients.com/,"ул. Чернышевского, 15а, Пермь, Пермский край, Россия, 614002",Пермь,5,27,"Парикмахер, Студия коррекции бровей, Депиляция, Маникюр и педикюр",четверг: 08:00–22:00 | пятница: 08:00–22:00 | суббота: 08:00–22:00 | воскресенье: 08:00–22:00 | понедельник: 08:00–22:00 | вторник: 08:00–22:00 | среда: 08:00–22:00,https://b112121.yclients.com/ https://yc.gl/book/123284/?rwg_token=AFd1xnHgcU_YhNZxth858AreV0Gj7da-ZTCxh4UFeiXQCdU7ftCPwuaOCwWHPI26Kf9rNjef_v7L1yjg-uivaki2A6Y2iarJWkoNKG7Ac_H-U9BFolt5eho%3D,салоны красоты Пермь
"Паола, Салон Эстетики",+7 342 228-01-28,,"ул. Мира, 14, Пермь, Пермский край, Россия, 614066",Пермь,4.9,94,Салон красоты,,,салоны красоты Пермь
Мир красоты,+7 342 270-09-08,http://xn----8sbwjhqkckl3h.xn--p1acf/,"ул. Советской Армии, 72, Пермь, Пермский край, Россия, 614022",Пермь,4.3,18,Салон красоты,четверг: 09:00–20:00 | пятница: 09:00–20:00 | суббота: 09:00–20:00 | воскресенье: 09:00–20:00 | понедельник: 09:00–20:00 | вторник: 09:00–20:00 | среда: 09:00–20:00,https://yc.gl/book/872249/?rwg_token=AFd1xnED_1ThrVrSPQOOo4-17ctZMdveZOJ5tu1o1AbPnZou3jv7p9lSK-_Ad_fr9Pp3pBf0SvFf5Ost7Z35pDiF9z5-eOGAEQ%3D%3D,салоны красоты Пермь
Charm studio,+7 965 572-79-27,http://charm59.ru/,"ул. КИМ, 109, Пермь, Пермский край, Россия, 614070",Пермь,4.7,23,"Салон красоты, Школа красоты",четверг: 10:00–20:00 | пятница: 10:00–20:00 | суббота: 10:00–20:00 | воскресенье: 10:00–20:00 | понедельник: 10:00–20:00 | вторник: 10:00–20:00 | среда: 10:00–20:00,,салоны красоты Пермь
"LUCK, студия красоты",+7 342 212-39-82,,"ул. Ленина, 10, Пермь, Пермский край, Россия, 614045",Пермь,4.9,37,Салон красоты,,,салоны красоты Пермь
"Салон маникюра ""Джесс""",+7 922 302-00-00,https://manikur-perm.ru/,"ул. Максима Горького, 49, Вход с торца, Пермь, Пермский край, Россия, 614007",Пермь,4.6,44,"Маникюр и педикюр, Массажист, Восковая депиляция",четверг: 10:00–22:00 | пятница: 10:00–22:00 | суббота: 10:00–22:00 | воскресенье: 10:00–22:00 | понедельник: 10:00–22:00 | вторник: 10:00–22:00 | среда: 10:00–22:00,https://beauty.dikidi.net/#widget=1569,салоны красоты Пермь
"Tokio, Салон Красоты",+7 342 203-22-00,https://dikidi.online/22580,"ул. Сибирская, 37, Пермь, Пермский край, Россия, 617160",Пермь,4.7,57,"Салон красоты, Маникюр и педикюр",четверг: 10:00–21:00 | пятница: 10:00–21:00 | суббота: 10:00–21:00 | воскресенье: 10:00–21:00 | понедельник: 10:00–21:00 | вторник: 10:00–21:00 | среда: 10:00–21:00,,салоны красоты Пермь
"МИЛАЖЪ, салон красоты",+7 342 203-99-09,,"ул. Луначарского, 130, Пермь, Пермский край, Россия, 614068",Пермь,4.5,28,Салон красоты,,,салоны красоты Пермь
"Салон красоты Лидия | стрижки, массаж, татуаж бровей Пермь",+7 342 231-85-81,https://vk.com/salon_lidia,"ул. Крупской, 67, 1 этаж, Пермь, Пермский край, Россия, 614077",Пермь,5,5,"Салон красоты, Мужская парикмахерская, Косметолог-эстетист, Студия коррекции бровей, Лимфодренаж, Массажист, Маникюр и педикюр, Парикмахер",четверг: 10:00–21:00 | пятница: 10:00–21:00 | суббота: 10:00–21:00 | воскресенье: 10:00–21:00 | понедельник: 10:00–21:00 | вторник: 10:00–21:00 | среда: 10:00–21:00,,салоны красоты Пермь
Галерея Красоты,+7 342 277-71-85,,"ул. Уральская, 87, Пермь, Пермский край, Россия, 614107",Пермь,4.7,62,"Салон красоты, Маникюр и педикюр",четверг: 09:00–21:00 | пятница: 09:00–21:00 | суббота: 10:00–20:00 | воскресенье: 10:00–19:00 | понедельник: 09:00–21:00 | вторник: 09:00–21:00 | среда: 09:00–21:00,,салоны красоты Пермь
Салон красоты ШИКолад,+7 951 922-25-64,,"Екатерининская ул., 48, Пермь, Пермский край, Россия, 614045",Пермь,4.7,43,Салон красоты,четверг: 09:00–21:00 | пятница: 09:00–21:00 | суббота: 10:00–18:00 | воскресенье: 10:00–18:00 | понедельник: 09:00–21:00 | вторник: 09:00–21:00 | среда: 09:00–21:00,,салоны красоты Волгоград
Fuksia,+7 844 292-23-38,,"ул. Менжинского, 2, Волгоград, Волгоградская обл., Россия, 400033",Волгоград,4.6,114,"Салон красоты, Мужская парикмахерская",четверг: 08:00–20:00 | пятница: 08:00–20:00 | суббота: 08:00–20:00 | воскресенье: 08:00–20:00 | понедельник: 08:00–20:00 | вторник: 08:00–20:00 | среда: 08:00–20:00,,салоны красоты Волгоград
Салон красоты Аура,+7 844 257-15-71,http://salon-aura.obiz.ru/,"пр. имени В.И. Ленина, 48, Волгоград, Волгоградская обл., Россия, 400005",Волгоград,4.8,114,Салон красоты,четверг: 09:00–20:00 | пятница: 09:00–20:00 | суббота: 09:00–20:00 | воскресенье: 09:00–20:00 | понедельник: 09:00–20:00 | вторник: 09:00–20:00 | среда: 09:00–20:00,,салоны красоты Волгоград
Студия 14,+7 927 510-30-31,https://www.instagram.com/studiya_14/,"ул. Советская, 14А, Волгоград, Волгоградская обл., Россия, 400008",Волгоград,4.9,48,Салон красоты,четверг: 08:00–22:00 | пятница: 08:00–22:00 | суббота: 08:00–22:00 | воскресенье: 08:00–22:00 | понедельник: 10:00–22:00 | вторник: 08:00–22:00 | среда: 08:00–22:00,,салоны красоты Волгоград
Фабрика красоты,+7 844 256-35-63,https://fabrika-krasoty.org/,"ул. Циолковского, 29, Волгоград, Волгоградская обл., Россия, 400074",Волгоград,4.7,83,"Салон красоты, Косметолог-эстетист, Массажист, Маникюр и педикюр, Окрашивание, Парикмахер",четверг: 09:00–20:00 | пятница: 09:00–20:00 | суббота: 09:00–20:00 | воскресенье: 09:00–20:00 | понедельник: 09:00–20:00 | вторник: 09:00–20:00 | среда: 09:00–20:00,https://wa.me/79020983563,салоны красоты Волгоград
Формула красоты,+7 844 239-39-39,https://instagram.com/formula_krasoty?igshid=13jgr3dn9b4xn,"Двинская ул., 20, Волгоград, Волгоградская обл., Россия, 400087",Волгоград,4.6,85,"Салон красоты, Солярий",четверг: 08:30–20:00 | пятница: 08:30–20:00 | суббота: 08:30–20:00 | воскресенье: 08:30–20:00 | понедельник: 08:30–20:00 | вторник: 08:30–20:00 | среда: 08:30–20:00,,салоны красоты Волгоград
Шпилька,+7 844 223-25-25,,"пр. имени В.И. Ленина, 29, Волгоград, Волгоградская обл., Россия, 400131",Волгоград,4.7,76,"Парикмахер, Красота",четверг: 08:00–20:00 | пятница: 08:00–20:00 | суббота: 08:00–20:00 | воскресенье: 08:00–20:00 | понедельник: 08:00–20:00 | вторник: 08:00–20:00 | среда: 08:00–20:00,,салоны красоты Волгоград
Beauty,,,"ул. Николая Отрады, 24А, Волгоград, Волгоградская обл., Россия, 400121",Волгоград,4.8,47,Салон красоты,четверг: 08:00–20:00 | пятница: 08:00–20:00 | суббота: 08:00–20:00 | воскресенье: 08:00–20:00 | понедельник: 08:00–20:00 | вторник: 08:00–20:00 | среда: 08:00–20:00,,салоны красоты Волгоград
Студия ногтевого сервиса и шугаринга,,,"Елецкая ул., 21, Волгоград, Волгоградская обл., Россия, 400120",Волгоград,4.9,30,"Салон красоты, Свечной магазин",четверг: 08:00–20:00 | пятница: 08:00–20:00 | суббота: 08:00–20:00 | воскресенье: 08:00–20:00 | понедельник: 08:00–20:00 | вторник: 08:00–20:00 | среда: 08:00–20:00,,салоны красоты Волгоград
Салон красоты Сочи,+7 844 297-37-52,,"Профсоюзная ул., 19, Волгоград, Волгоградская обл., Россия, 400001",Волгоград,4.7,91,"Салон красоты, Маникюр и педикюр",четверг: 08:00–21:00 | пятница: 08:00–21:00 | суббота: 08:00–21:00 | воскресенье: 08:00–21:00 | понедельник: 08:00–21:00 | вторник: 08:00–21:00 | среда: 08:00–21:00,,салоны красоты Волгоград
"Салон красоты в Волгограде Style | парикмахерская, маникюр, косметология",+7 844 252-85-82,http://salon-style34.ru/,"ул. Карла Маркса, 5, Цокольный этаж, Волгоград, Волгоградская обл., Россия, 400119",Волгоград,4.5,127,"Салон красоты, Косметолог-эстетист, Школа красоты, Пирсинг-салон, Центр по уходу за лицом, Депиляция, Массажист, Маникюр и педикюр, Косметологическая клиника, Парикмахер",четверг: 08:30–20:00 | пятница: 08:30–20:00 | суббота: 08:30–20:00 | воскресенье: 08:30–20:00 | понедельник: 08:30–20:00 | вторник: 08:30–20:00 | среда: 08:30–20:00,,салоны красоты Волгоград
Wella-lux,+7 844 238-55-55,https://wella-lux.ru/,"ул. имени Маршала В.И. Чуйкова, 1, Волгоград, Волгоградская обл., Россия, 400131",Волгоград,4.7,48,"Салон красоты, Магазин косметики и парфюмерии, Спа-массаж, Маникюр и педикюр, Косметологическая клиника, Парикмахер",четверг: 08:00–20:00 | пятница: 08:00–20:00 | суббота: 08:00–20:00 | воскресенье: 08:00–20:00 | понедельник: 08:00–20:00 | вторник: 08:00–20:00 | среда: 08:00–20:00,https://yc.gl/book/94410/?rwg_token=AFd1xnEwT4gFb35Nj4r9bg_UqOd0ZJX0g4RpSMJ8nPAvUPulqAIdj48hLn-DZbvYD23IStYS4aN5C7LB4_9gXE8J1ToMaFOK1A%3D%3D,салоны красоты Волгоград
CIRYLNYA BEAUTY,+7 937 090-99-00,,"ул. Баррикадная, 18, Волгоград, Волгоградская обл., Россия, 400074",Волгоград,4.2,295,"Салон красоты, Маникюр и педикюр",четверг: 08:00–20:00 | пятница: 08:00–20:00 | суббота: 08:00–20:00 | воскресенье: 08:00–20:00 | понедельник: 08:00–20:00 | вторник: 08:00–20:00 | среда: 08:00–20:00,,салоны красоты Волгоград
Курорт красоты Biarritz,+7 844 255-15-45,https://biarritz-vlg.ru/,"ул. Мира, 12, Волгоград, Волгоградская обл., Россия, 400066",Волгоград,4.8,43,Салон красоты,четверг: 09:00–21:00 | пятница: 09:00–21:00 | суббота: 09:00–21:00 | воскресенье: 10:00–21:00 | понедельник: 09:00–21:00 | вторник: 09:00–21:00 | среда: 09:00–21:00,https://yc.gl/book/772594/?rwg_token=AFd1xnHO0LTEzLIDq7_Hj6ZMupendPEr11eBYk3pEMhgz5H6bemmpTW7Hi61jhm7iJ07ZJlRYuW5ramzShWfvx8-Vnh2qkDlSQ%3D%3D,салоны красоты Волгоград
Sochi,+7 937 547-34-34,,"ул. 8-й Воздушной Армии, 33, Волгоград, Волгоградская обл., Россия, 400116",Волгоград,4.4,106,"Салон красоты, Маникюр и педикюр, Солярий",четверг: 08:00–21:00 | пятница: 08:00–21:00 | суббота: 09:00–21:00 | воскресенье: 09:00–21:00 | понедельник: 08:00–21:00 | вторник: 08:00–21:00 | среда: 08:00–21:00,,салоны красоты Волгоград
Богиня,+7 844 238-29-01,,"пр. имени В.И. Ленина, 15, Волгоград, Волгоградская обл., Россия, 400002",Волгоград,4.2,65,"Салон красоты, Маникюр и педикюр, Солярий",четверг: 08:00–20:00 | пятница: 08:00–20:00 | суббота: 08:00–20:00 | воскресенье: 08:00–20:00 | понедельник: 08:00–20:00 | вторник: 08:00–20:00 | среда: 08:00–20:00,,салоны красоты Волгоград
Стиль,+7 844 246-63-15,https://salon-style34.ru/,"просп. Университетский, 52, Волгоград, Волгоградская обл., Россия, 400011",Волгоград,4.5,84,Салон красоты,четверг: 08:00–20:00 | пятница: 08:00–20:00 | суббота: 08:00–20:00 | воскресенье: 08:00–20:00 | понедельник: 08:00–20:00 | вторник: 08:00–20:00 | среда: 08:00–20:00,,салоны красоты Волгоград
Star,+7 937 089-27-57,,"просп. Маршала Жукова, 95, Волгоград, Волгоградская обл., Россия, 400107",Волгоград,4.6,54,Салон красоты,четверг: 08:00–20:00 | пятница: 08:00–20:00 | суббота: 08:00–20:00 | воскресенье: 08:00–20:00 | понедельник: 08:00–20:00 | вторник: 08:00–20:00 | среда: 08:00–20:00,,салоны красоты Волгоград
"ВероNika | Салон красоты Волгоград | Косметология, массаж, СПА",+7 909 377-88-99,https://salon-krasoti-veronika.ru/,"ул. 8-й Воздушной Армии, 14, 1 этаж, Волгоград, Волгоградская обл., Россия, 400137",Волгоград,4.7,23,"Салон красоты, Мужская парикмахерская, Центр по уходу за лицом, Депиляция, Лазерная эпиляция, Массажист, Маникюр и педикюр, Косметологическая клиника, Парикмахер",четверг: 09:00–21:00 | пятница: 09:00–21:00 | суббота: 09:00–21:00 | воскресенье: 09:00–21:00 | понедельник: 09:00–21:00 | вторник: 09:00–21:00 | среда: 09:00–21:00,https://salon-krasoti-veronika.ru/contacts,салоны красоты Волгоград
Локон,+7 844 297-24-95,,"Козловская ул., 17, Волгоград, Волгоградская обл., Россия, 400001",Волгоград,4.7,50,"Салон красоты, Красота",четверг: 08:30–20:00 | пятница: 08:30–20:00 | суббота: 09:00–20:00 | воскресенье: 09:00–20:00 | понедельник: 08:30–20:00 | вторник: 08:30–20:00 | среда: 08:30–20:00,,салоны красоты Волгоград
ViVi beauty bar,+7 937 089-55-58,,"просп. Маршала Жукова, 5, 2 этаж, Волгоград, Волгоградская обл., Россия, 400012",Волгоград,4.6,96,"Маникюр и педикюр, Салон красоты, Окрашивание, Спа-салон, Парикмахер",четверг: 09:00–21:00 | пятница: 09:00–21:00 | суббота: 09:00–21:00 | воскресенье: 09:00–21:00 | понедельник: 09:00–21:00 | вторник: 09:00–21:00 | среда: 09:00–21:00,https://n390233.yclients.com/company:370753 https://yc.gl/book/370753/?rwg_token=AFd1xnEy5HsaTvrNEHAkX5nxNxfsTdx2bI127ZESdLmsX5fVl8hU6A9mA9VwkCRsv0cN2SV0k4Z6ZTSRoRrgUced9dHCyxrqHq6CRTXIQ2fjFIs3Xxii2Xc%3D,салоны красоты Краснодар
STRIGA,+7 938 504-45-89,http://striga.me/,"ул. Митрофана Седина, 140, Краснодар, Краснодарский край, Россия, 350000",Краснодар,4.8,475,Салон красоты,четверг: 09:00–20:00 | пятница: 09:00–20:00 | суббота: 09:00–20:00 | воскресенье: 09:00–20:00 | понедельник: 09:00–20:00 | вторник: 09:00–20:00 | среда: 09:00–20:00,https://yc.gl/book/318730/?rwg_token=AFd1xnEJaVCiXVRN3Mc4pvoGfp48Ed6RdgsgfN1fGzhxMsmIguPwvl6PT-d64WQX_K1uXRnF9_1hVgJnxRL3kICQyfCkmy3VbJsCGdx5kPOKOvzXvBP8dpI%3D,салоны красоты Краснодар
Салон красоты Пепел роз,+7 918 011-22-88,,"ул. Митрофана Седина, 187, 2 этаж, Краснодар, Краснодарский край, Россия, 350015",Краснодар,4.9,37,"Салон красоты, Мужская парикмахерская, Уход за ногами, Маникюр и педикюр, Студия перманентного макияжа, Стилист, Парикмахер",четверг: 08:00–20:00 | пятница: 08:00–20:00 | суббота: 08:00–20:00 | воскресенье: 08:00–20:00 | понедельник: 08:00–20:00 | вторник: 08:00–20:00 | среда: 08:00–20:00,https://yc.gl/book/85382/?rwg_token=AFd1xnHjsxDWIPyfzMKdkggixxjIsxXz7nzv-3cJOfv8ZGoxuSsXdlzoL88Uq3OUpu90zSy_97CcjLbpFvEXhRfyddDIHwz0gg%3D%3D,салоны красоты Краснодар
Салон Zvereva,+7 909 445-55-14,https://instagram.com/salon_zvereva?,"ул. Карякина, 5 корп. 3, Краснодар, Краснодарский край, Россия, 350016",Краснодар,4.9,140,"Салон красоты, Косметолог-эстетист, Уход за ногами, Лазерная эпиляция, Визажист, Массажист, Маникюр и педикюр, Студия перманентного макияжа, Парикмахер",четверг: 09:00–20:00 | пятница: 09:00–20:00 | суббота: 09:00–20:00 | воскресенье: 09:00–20:00 | понедельник: 09:00–20:00 | вторник: 09:00–20:00 | среда: 09:00–20:00,https://b194141.yclients.com/company/195396/menu?referrer=https:%2F%2Flink.2gis.ru%2F&o= https://yc.gl/book/195396/?rwg_token=AFd1xnER717LzgqhNJb7TC3fM1UUT-M0iZ-vDM6QrI9ccY8ZZLSsPdmjVjX3BqcmOd1xsRuHpGJAtYgImEoRJY7IOSUE5VeauHuwX2f45cy7_IUHIi-uwbo%3D,салоны красоты Краснодар
Персона,+7 988 509-75-09,https://persona-krasnodar.ru/,"ул. Буденного, 129, 1 этаж, Краснодар, Краснодарский край, Россия, 350000",Краснодар,4.7,237,"Салон красоты, Визажист, Маникюр и педикюр, Стилист, Парикмахер",четверг: 10:00–22:00 | пятница: 10:00–22:00 | суббота: 10:00–22:00 | воскресенье: 10:00–22:00 | понедельник: 10:00–22:00 | вторник: 10:00–22:00 | среда: 10:00–22:00,https://n690396.yclients.com/ https://yc.gl/book/320435/?rwg_token=AFd1xnFkyXnnOrsinE6F5szIFQvUbuoOLX7mTPSsSfpq7g6F6jcqHFAKw5ek5oCO7XezcZtuUD61Wwbr_RN3mKpuW4VtcKMPqQ%3D%3D,салоны красоты Краснодар
Косма Про,+7 918 274-18-68,https://www.cosma-pro.ru/,"ул. Ставропольская, 156, Краснодар, Краснодарский край, Россия, 350000",Краснодар,4.6,127,"Салон красоты, Солярий, Визажист, Массажист, Маникюр и педикюр, Косметологическая клиника, Парикмахер",четверг: 08:00–21:00 | пятница: 08:00–21:00 | суббота: 08:00–21:00 | воскресенье: 08:00–21:00 | понедельник: 08:00–21:00 | вторник: 08:00–21:00 | среда: 08:00–21:00,https://yc.gl/book/502323/?rwg_token=AFd1xnEZ0_6UBXi6e9tyPGtq5ZljU-8q2Htdvozm-omWxKVWhmRxd1kO02TDHjuYvHzwdkbcFLpaR380d9CYDOg_ylThV2Ww5w%3D%3D,салоны красоты Краснодар
Позитив,+7 861 275-03-33,,"Красноармейская ул., 115, Краснодар, Краснодарский край, Россия, 350015",Краснодар,4.7,51,Салон красоты,,,салоны красоты Краснодар
Салон красоты Барбье,+7 918 070-00-16,https://skbarbier.ru/,"ул. Ставропольская, 110/1, Краснодар, Краснодарский край, Россия, 350001",Краснодар,4.7,75,"Салон красоты, Мужская парикмахерская, Косметолог-эстетист, Центр по уходу за лицом, Уход за ногами, Маникюр и педикюр, Окрашивание, Парикмахер",четверг: 09:00–20:00 | пятница: 09:00–20:00 | суббота: 09:00–20:00 | воскресенье: 09:00–20:00 | понедельник: 09:00–20:00 | вторник: 09:00–20:00 | среда: 09:00–20:00,https://n1208295.yclients.com/ https://yc.gl/book/259715/?rwg_token=AFd1xnFDGDAilT5c0WnF1Sw_ZVu5uwuvsBSKOcS_uxg34NuMt_Ms5IqzsAQliIw-C1-PSEz0u5Ktxpnt94AefPlI09MaCk_S65OCNefHSdo4YHtGXsOxj88%3D,салоны красоты Краснодар
Prime студия красоты,+7 861 246-07-09,,"ул. Красная, 172, Краснодар, Краснодарский край, Россия, 350015",Краснодар,4.8,32,Салон красоты,четверг: 09:00–21:00 | пятница: 09:00–21:00 | суббота: 09:00–21:00 | воскресенье: 09:00–21:00 | понедельник: 09:00–21:00 | вторник: 09:00–21:00 | среда: 09:00–21:00,,салоны красоты Краснодар
"Local Beauty Club | Маникюр и Педикюр, Стрижка, Макияж, Коррекция бровей",+7 918 015-55-75,https://localbeauty.club/?utm_source=google&utm_medium=banner,"ул. Красная, 129, Краснодар, Краснодарский край, Россия, 350020",Краснодар,4.6,45,"Салон красоты, Школа красоты, Магазин косметики и парфюмерии, Визажист, Маникюр и педикюр, Стилист, Парикмахер",четверг: 09:00–21:00 | пятница: 09:00–21:00 | суббота: 09:00–21:00 | воскресенье: 09:00–21:00 | понедельник: 09:00–21:00 | вторник: 09:00–21:00 | среда: 09:00–21:00,https://yc.gl/book/134977/?rwg_token=AFd1xnH-_-L2J456p7F5IH_6hqA7rnQxnS8E7SgTswnCAS4B7TZN3DOaVXFGH8mCOO_PaUTvF6TKQo529yQuvLj-frPxBFUJ49UDPmDaMN4n75iLPYGZ4LI%3D,салоны красоты Краснодар
Krasota,+7 988 247-91-19,https://www.krasota.cc/,"ул. Рашпилевская, 28, Краснодар, Краснодарский край, Россия, 350063",Краснодар,4.8,15,"Салон красоты, Парикмахерская",четверг: 10:00–21:00 | пятница: 10:00–21:00 | суббота: 10:00–21:00 | воскресенье: 10:00–20:00 | понедельник: 10:00–21:00 | вторник: 10:00–21:00 | среда: 10:00–21:00,,салоны красоты Краснодар
"Аэлита | Салон красоты Краснодар | Парикмахерская, маникюр, макияж",+7 918 267-67-36,,"ул. Российская, 794/2, Краснодар, Краснодарский край, Россия, 350087",Краснодар,4.4,75,"Салон красоты, Мужская парикмахерская, Наращивание волос, Визажист, Маникюр и педикюр, Окрашивание, Парикмахер",четверг: 09:00–20:00 | пятница: 09:00–20:00 | суббота: 09:00–20:00 | воскресенье: 09:00–20:00 | понедельник: 09:00–20:00 | вторник: 09:00–20:00 | среда: 09:00–20:00,http://aelita-centr.ru/contacts/?utm_source=gmb,салоны красоты Краснодар
Авторская студия прически Сергея Дубровского,+7 988 245-69-90,,"ул. Гудимы, 43, Краснодар, Краснодарский край, Россия, 350020",Краснодар,4.9,72,"Салон красоты, Мужская парикмахерская, Окрашивание, Стилист, Парикмахер",четверг: 09:00–21:00 | пятница: 09:00–21:00 | суббота: 09:00–21:00 | воскресенье: Закрыто | понедельник: 09:00–21:00 | вторник: 09:00–21:00 | среда: 09:00–21:00,,салоны красоты Краснодар
Салон красоты 12/27,+7 989 804-40-79,https://salon1227.ru/,"ул. Сормовская, 204/5, Краснодар, Краснодарский край, Россия, 350080",Краснодар,4.8,267,Салон красоты,четверг: 09:00–20:00 | пятница: 09:00–20:00 | суббота: 08:00–20:00 | воскресенье: 08:00–20:00 | понедельник: 09:00–20:00 | вторник: 09:00–20:00 | среда: 09:00–20:00,https://yc.gl/book/334007/?rwg_token=AFd1xnH26QCh5YLwJKnRwZh19zySeaRkLUMPolreDiSVqRBrckavdsrKOsZsLtHLeRu1ClHQgz_t7qoYOHyxwKYXRLfDwNfZZNx5EEHQIy8JAbDtG3nFtf4%3D,салоны красоты Краснодар
Bon Salon,+7 989 802-50-91,https://www.instagram.com/bonsalon2018/,"ул. Петра Метальникова, 11, Краснодар, Краснодарский край, Россия, 350087",Краснодар,4.7,34,Салон красоты,четверг: 10:00–21:00 | пятница: 10:00–21:00 | суббота: 10:00–21:00 | воскресенье: 10:00–21:00 | понедельник: 10:00–21:00 | вторник: 10:00–21:00 | среда: 10:00–21:00,,салоны красоты Краснодар
Центр красоты Розовая Пантера,+7 918 255-49-12,http://mrpp.ru/,"ул. Восточно-Кругликовская, 22, Краснодар, Краснодарский край, Россия, 350901",Краснодар,4.2,59,Салон красоты,четверг: 10:00–21:00 | пятница: 10:00–21:00 | суббота: 10:00–21:00 | воскресенье: 10:00–21:00 | понедельник: 10:00–21:00 | вторник: 10:00–21:00 | среда: 10:00–21:00,https://yc.gl/book/967942/?rwg_token=AFd1xnFUeJLcdbLR9oHxG6XJea02qvMFK3gmsQzYaERgCi35-JiJQGUwwZlmSG1hdezAWBzE-5-pZYyLE7dOATjhy2BrVgi04X7yXhybpk8n_YBWRFjp-Nk%3D,салоны красоты Краснодар
"Booff | Салон красоты Центральный округ | Парикмахерская, массаж, депиляция",+7 967 306-58-88,,"ул. Ставропольская, 80, 1 этаж, Краснодар, Краснодарский край, Россия, 350033",Краснодар,5,4,"Салон красоты, Мужская парикмахерская, Уход за ногами, Лимфодренаж, Массажист, Маникюр и педикюр, Студия перманентного макияжа, Парикмахер",четверг: 10:00–20:00 | пятница: 10:00–20:00 | суббота: 10:00–20:00 | воскресенье: 10:00–20:00 | понедельник: 10:00–20:00 | вторник: 10:00–20:00 | среда: 10:00–20:00,https://booff.obiz.ru/?utm_source=gmb,салоны красоты Краснодар
Салон красоты Фламинго,+7 861 251-11-01,,"ул. Северная, 452, Краснодар, Краснодарский край, Россия, 350002",Краснодар,4.1,38,"Салон красоты, Парикмахерская, Массажист, Маникюр и педикюр, Солярий",четверг: 10:00–20:00 | пятница: 10:00–20:00 | суббота: 10:00–20:00 | воскресенье: 10:00–20:00 | понедельник: 10:00–20:00 | вторник: 10:00–20:00 | среда: 10:00–20:00,https://dikidi.online/101771,салоны красоты Краснодар
"A-studia | Салон красоты Краснодар | Парикмахерская, маникюр",+7 964 938-86-77,https://astudia-salon.ru/,"Ярославская ул., 111/1, Краснодар, Краснодарский край, Россия, 350005",Краснодар,5,7,"Салон красоты, Мужская парикмахерская, Косметолог-эстетист, Прокалывание ушей, Депиляция, Парикмахерская, Лимфодренаж, Массажист, Маникюр и педикюр, Студия перманентного макияжа",четверг: 10:00–20:00 | пятница: 10:00–20:00 | суббота: 10:00–20:00 | воскресенье: 10:00–20:00 | понедельник: 10:00–20:00 | вторник: 10:00–20:00 | среда: 10:00–20:00,,салоны красоты Краснодар
Лавка Красоты by Виктория Стрига,+7 918 098-18-18,,"ул. Пашковская, 137А, Краснодар, Краснодарский край, Россия, 350002",Краснодар,4.9,84,Салон красоты,четверг: 09:00–20:00 | пятница: 09:00–20:00 | суббота: 09:00–20:00 | воскресенье: 09:00–20:00 | понедельник: 09:00–20:00 | вторник: 09:00–20:00 | среда: 09:00–20:00,,салоны красоты Краснодар
Студия красоты Виолетты Аверьяновой,+7 918 018-99-00,http://viostyle.com/,"ул. Янковского, 171, Краснодар, Краснодарский край, Россия, 350015",Краснодар,4.8,91,"Салон красоты, Школа красоты, Маникюр и педикюр, Учебный центр, Парикмахер",четверг: 10:00–20:00 | пятница: 10:00–20:00 | суббота: 10:00–19:00 | воскресенье: 10:00–19:00 | понедельник: 10:00–20:00 | вторник: 10:00–20:00 | среда: 10:00–20:00,https://viostyle.com/kontakty-i-karta-proezda,барбершоп Москва
BarbarossA,+7 929 603-39-79,https://1905.barbarossa.top/,"ул. Пресненский Вал, д.8, корп. 3, Москва, Россия, 123022",Москва,4.9,666,Мужская парикмахерская,четверг: 10:00–22:00 | пятница: 10:00–22:00 | суббота: 10:00–22:00 | воскресенье: 10:00–22:00 | понедельник: 10:00–22:00 | вторник: 10:00–22:00 | среда: 10:00–22:00,https://n156042.yclients.com/?utm_source=google_map&utm_medium=yc_link,барбершоп Москва
